appid,bizid,id_hash,str_device_type,str_server_ip,stream_id,u32_conn_server_time,u32_network_type,u32_video_bitrate,u32_video_reso,u64_begin_time,update_time
1253216102,9180,1519930528,iPhone 6s Plus,42.202.141.172:1935,9180_971366,17,1,911,35652544,1524240002105,2018-04-21 00:00:05
1253216102,9180,1519930559,Redmi 4X,183.2.192.168:1935,9180_971361,383,1,800,24117888,1524240007124,2018-04-21 00:00:12
1253216102,9180,1519930535,vivo Y66,157.255.128.40:1935,9180_971369,305,2,1200,35652544,1524240005018,2018-04-21 00:00:22
1253216102,9180,337909148,OPPO R11s,124.232.162.168:1935,9180_812892,141,1,1800,47187200,1524240032233,2018-04-21 00:00:41
1253216102,9180,350477200,MP1701,183.214.128.167:1935,9180_818417,40,1,1200,35652544,1524240033497,2018-04-21 00:00:46
1253216102,9180,642681435,OPPO R11s,223.111.153.38:1935,9180_903573,153,2,800,24117888,1524240068973,2018-04-21 00:01:12
1253216102,9180,1515910722,OPPO R9sk,117.169.71.147:1935,9180_957615,125,1,1200,35652544,1524240104379,2018-04-21 00:01:44
1253216102,9180,317759928,MP1503,111.7.189.164:1935,9180_720294,29,1,1200,35652544,1524240118900,2018-04-21 00:02:01
1253216102,9180,1518303645,OPPO R7s,111.47.223.38:1935,9180_968774,188,2,800,24117888,1524240137959,2018-04-21 00:02:18
1253216102,9180,1517846770,vivo X9s,221.180.165.28:1935,9180_968204,115,1,1200,35652544,1524240142957,2018-04-21 00:02:19
1253216102,9180,610842996,SM-G9550,42.236.125.37:1935,9180_853096,44,2,1800,47187200,1524240149601,2018-04-21 00:02:29
1253216102,9180,615257743,M5 Note,121.51.22.116:1935,9180_914839,136,1,1200,35652544,1524240074263,2018-04-21 00:02:45
1253216102,9180,1522178632,vivo X7Plus,218.11.11.172:1935,9180_960616,54,1,1200,35652544,1524240173904,2018-04-21 00:02:53
1253216102,9180,1146949536,MP1503,59.49.91.158:1935,9180_2946,78,1,800,24117888,1524240106266,2018-04-21 00:03:30
1253216102,9180,1521691222,vivo X6A,14.215.166.164:1935,9180_949445,37,1,1800,47187200,1524240229608,2018-04-21 00:03:50
1253216102,9180,1521439571,iPhone 7 Plus (CDMA),27.221.28.170:1935,9180_940742,90,1,1200,35652544,1524240242167,2018-04-21 00:04:02
1253216102,9180,1522074988,vivo Y67,112.17.5.50:1935,9180_963714,76,1,1200,35652544,1524240144317,2018-04-21 00:04:12
1253216102,9180,1521719609,PACT00,182.150.11.164:1935,9180_949090,57,1,1800,47187200,1524240259121,2018-04-21 00:04:20
1253216102,9180,642709820,vivo Y66,183.230.74.37:1935,9180_903841,460,1,1200,35652544,1524240285565,2018-04-21 00:04:46
1253216102,9180,1529273496,vivo Y67L,118.112.23.182:1935,9180_953358,66,1,1200,35652544,1524240277887,2018-04-21 00:04:47
1253216102,9180,1518906065,OPPO A77,118.180.26.16:1935,9180_961676,252,1,1200,35652544,1524240293061,2018-04-21 00:04:51
1253216102,9180,964837016,OPPO A59s,122.143.6.29:1935,9180_188554,107,2,1200,35652544,1524240294852,2018-04-21 00:04:55
1253216102,9180,168425359,vivo X9s,123.125.46.167:1935,9180_282990,52,1,1200,35652544,1524240254896,2018-04-21 00:05:14
1253216102,9180,1519930588,vivo Y67L,117.161.21.157:1935,9180_971371,208,2,1200,35652544,1524240319458,2018-04-21 00:05:21
1253216102,9180,1518337808,vivo Y66,112.90.58.158:1935,9180_967838,101,2,1200,35652544,1524240345492,2018-04-21 00:05:45
1253216102,9180,953949045,OPPO A57,182.140.217.37:1935,9180_714362,106,1,1200,35652544,1524240255579,2018-04-21 00:05:48
1253216102,9180,377953215,"iPhone10,3",220.194.87.159:1935,9180_113434,10,1,0,35652544,1524240377307,2018-04-21 00:06:17
1253216102,9180,946332479,OPPO R11,118.112.23.182:1935,9180_186812,135,1,1200,35652544,1524240386584,2018-04-21 00:06:27
1253216102,9180,1518331552,OPPO R11,1.198.4.40:1935,9180_967629,50,1,1200,35652544,1524240390237,2018-04-21 00:06:31
1253216102,9180,1517877315,M5 Note,118.112.23.182:1935,9180_968416,104,1,1200,35652544,1524240393518,2018-04-21 00:06:38
1253216102,9180,1522042123,vivo Y67,223.111.153.37:1935,9180_950879,244,1,1200,35652544,1524240390805,2018-04-21 00:06:40
1253216102,9180,1522909080,"iPhone10,2",121.51.40.118:1935,9180_935503,77,1,0,35652544,1524240360690,2018-04-21 00:06:50
1253216102,9180,1520019755,OPPO R11s,61.190.114.26:1935,9180_971084,59,1,1200,35652544,1524240413937,2018-04-21 00:07:00
1253216102,9180,1518603602,vivo Y66,183.203.65.20:1935,9180_970820,92,1,800,24117888,1524240421947,2018-04-21 00:07:01
1253216102,9180,1519931259,vivo V3,223.111.186.29:1935,9180_971342,120,1,1200,35652544,1524240418230,2018-04-21 00:07:01
1253216102,9180,1518298512,"iPhone10,3",117.169.71.167:1935,9180_968908,124,1,0,35652544,1524240446093,2018-04-21 00:07:26
1253216102,9180,1529453316,vivo X9,118.180.60.42:1935,9180_952259,187,2,1200,35652544,1524240484833,2018-04-21 00:08:02
1253216102,9180,1526101809,MP1602,27.152.185.167:1935,9180_922618,64,1,1200,35652544,1524240501192,2018-04-21 00:08:23
